,conferma_segnale_giornaliero
0,ABT.MI
1,BSS.MI
2,CALT.MI
3,CSP.MI
4,DAN.MI
5,EDNR.MI
6,GHC.MI
7,IDB.MI
8,ITM.MI
9,LTMC.MI
10,PLC.MI
11,RST.MI
12,SG.MI
13,SCF.MI
14,SERI.MI
15,UD.MI
16,WIIT.MI
