,conferma_segnale_giornaliero
0,AMBA
1,BTI
2,CPLP
3,DAC
4,EVR
5,FNB
6,GGB
7,GSL
8,MO
9,PEP
10,PPC
11,SBUX
12,T
13,TX
14,ZION
